GEOID,NAME,POPCOUNT
05000US16071,"Oneida County, Idaho",4326
05000US16073,"Owyhee County, Idaho",11455
05000US16075,"Payette County, Idaho",23041
05000US16077,"Power County, Idaho",7713
05000US16079,"Shoshone County, Idaho",12526
05000US16081,"Teton County, Idaho",11080
05000US16085,"Valley County, Idaho",10401
05000US16087,"Washington County, Idaho",10025
05000US17003,"Alexander County, Illinois",6532
05000US17005,"Bond County, Illinois",16712
05000US17009,"Brown County, Illinois",6675
05000US17011,"Bureau County, Illinois",33381
05000US17013,"Calhoun County, Illinois",4858
05000US17015,"Carroll County, Illinois",14562
05000US17017,"Cass County, Illinois",12665
05000US17021,"Christian County, Illinois",33231
05000US17023,"Clark County, Illinois",15836
05000US17025,"Clay County, Illinois",13338
05000US17027,"Clinton County, Illinois",37628
05000US17033,"Crawford County, Illinois",19088
05000US17035,"Cumberland County, Illinois",10865
05000US17039,"De Witt County, Illinois",16042
05000US17041,"Douglas County, Illinois",19714
05000US17045,"Edgar County, Illinois",17539
05000US17047,"Edwards County, Illinois",6507
05000US17049,"Effingham County, Illinois",34174
05000US17051,"Fayette County, Illinois",21724
05000US17053,"Ford County, Illinois",13398
05000US17055,"Franklin County, Illinois",39127
05000US17057,"Fulton County, Illinois",35418
05000US17059,"Gallatin County, Illinois",5157
05000US17061,"Greene County, Illinois",13218
05000US17065,"Hamilton County, Illinois",8221
05000US17067,"Hancock County, Illinois",18112
05000US17069,"Hardin County, Illinois",4009
05000US17071,"Henderson County, Illinois",6884
05000US17073,"Henry County, Illinois",49464
05000US17075,"Iroquois County, Illinois",28169
05000US17079,"Jasper County, Illinois",9598
05000US17081,"Jefferson County, Illinois",38169
05000US17083,"Jersey County, Illinois",22069
05000US17085,"Jo Daviess County, Illinois",21834
05000US17087,"Johnson County, Illinois",12602
05000US17101,"Lawrence County, Illinois",16189
05000US17103,"Lee County, Illinois",34527
05000US17105,"Livingston County, Illinois",36324
05000US17107,"Logan County, Illinois",29207
05000US17109,"McDonough County, Illinois",30875
05000US17117,"Macoupin County, Illinois",45719
05000US17121,"Marion County, Illinois",38084
05000US17123,"Marshall County, Illinois",11794
05000US17125,"Mason County, Illinois",13778
05000US17127,"Massac County, Illinois",14430
05000US17129,"Menard County, Illinois",12367
05000US17131,"Mercer County, Illinois",15693
05000US17133,"Monroe County, Illinois",33936
05000US17135,"Montgomery County, Illinois",29009
05000US17137,"Morgan County, Illinois",34426
05000US17139,"Moultrie County, Illinois",14703
05000US17145,"Perry County, Illinois",21384
05000US17147,"Piatt County, Illinois",16427
05000US17149,"Pike County, Illinois",15754
05000US17151,"Pope County, Illinois",4249
05000US17153,"Pulaski County, Illinois",5611
05000US17155,"Putnam County, Illinois",5746
05000US17157,"Randolph County, Illinois",32546
05000US17159,"Richland County, Illinois",15881
05000US17165,"Saline County, Illinois",24231
05000US17169,"Schuyler County, Illinois",7064
05000US17171,"Scott County, Illinois",5047
05000US17173,"Shelby County, Illinois",21832
05000US17175,"Stark County, Illinois",5500
05000US17177,"Stephenson County, Illinois",45433
05000US17181,"Union County, Illinois",17127
05000US17185,"Wabash County, Illinois",11573
05000US17187,"Warren County, Illinois",17338
05000US17189,"Washington County, Illinois",14155
05000US17191,"Wayne County, Illinois",16487
